先天命数,天干,1,2,3,4,5,6,7,8,9,10,11,12,,,
10,癸,四,五,四,四,五,七,六,七,四,四,五,六,,,
11,甲,四,七,七,四,五,四,六,五,六,六,五,七,,,
11,乙,五,四,五,四,五,四,七,四,六,四,五,七,,,
11,丙,七,四,六,四,五,七,五,四,七,六,五,四,,,
11,丁,四,七,七,六,五,六,六,七,七,六,六,四,,,
11,戊,五,四,五,四,五,四,五,四,五,四,五,七,,,
11,己,四,四,四,四,七,五,四,六,四,六,五,五,,,
11,庚,五,四,四,四,五,六,七,七,四,六,六,七,,,
11,辛,五,四,四,六,五,七,六,七,六,四,五,七,,,
11,壬,五,七,七,四,六,五,六,四,七,六,七,六,,,
11,癸,四,七,六,四,四,五,七,六,四,四,七,五,,,
12,甲,七,五,六,五,四,五,四,七,四,六,四,五,,,
12,乙,四,四,六,七,四,四,五,六,七,六,六,五,,,
12,丙,七,四,七,四,五,四,五,四,七,六,五,七,,,
12,丁,六,五,五,四,四,五,六,五,四,七,四,七,,,
12,戊,七,七,四,七,五,六,五,六,四,七,五,四,,,
12,己,四,五,七,七,四,六,四,五,六,七,七,六,,,
12,庚,四,六,四,五,四,七,六,五,四,五,五,七,,,
12,辛,六,四,四,四,五,四,四,七,六,七,五,七,,,
12,壬,五,四,五,四,六,四,七,四,四,七,五,四,,,
12,癸,四,四,六,五,六,七,四,七,六,四,五,五,,,
